"day.text","day.href","desc.text","desc.src","desc.alt","precip","high","low"
"1","http://www.wunderground.com/history/airport/KSFO/2012/5/1/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","59°","49°"
"2","http://www.wunderground.com/history/airport/KSFO/2012/5/2/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","58°","48°"
"3","http://www.wunderground.com/history/airport/KSFO/2012/5/3/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlycloudy.svg","Mostly Cloudy","T","63°","51°"
"4","http://www.wunderground.com/history/airport/KSFO/2012/5/4/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","61°","50°"
"5","http://www.wunderground.com/history/airport/KSFO/2012/5/5/DailyHistory.html","","http://icons.wxug.com/i/c/v1/clear.svg","Clear","0.00","69°","47°"
"6","http://www.wunderground.com/history/airport/KSFO/2012/5/6/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","78°","49°"
"7","http://www.wunderground.com/history/airport/KSFO/2012/5/7/DailyHistory.html","","http://icons.wxug.com/i/c/v1/clear.svg","Clear","0.00","83°","51°"
"8","http://www.wunderground.com/history/airport/KSFO/2012/5/8/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","76°","50°"
"9","http://www.wunderground.com/history/airport/KSFO/2012/5/9/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","64°","51°"
"10","http://www.wunderground.com/history/airport/KSFO/2012/5/10/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","77°","49°"
"11","http://www.wunderground.com/history/airport/KSFO/2012/5/11/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","78°","50°"
"12","http://www.wunderground.com/history/airport/KSFO/2012/5/12/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","67°","48°"
"13","http://www.wunderground.com/history/airport/KSFO/2012/5/13/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","66°","50°"
"14","http://www.wunderground.com/history/airport/KSFO/2012/5/14/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","66°","53°"
"15","http://www.wunderground.com/history/airport/KSFO/2012/5/15/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","61°","51°"
"16","http://www.wunderground.com/history/airport/KSFO/2012/5/16/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","59°","50°"
"17","http://www.wunderground.com/history/airport/KSFO/2012/5/17/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","61°","50°"
"18","http://www.wunderground.com/history/airport/KSFO/2012/5/18/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","67°","48°"
"19","http://www.wunderground.com/history/airport/KSFO/2012/5/19/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","68°","49°"
"20","http://www.wunderground.com/history/airport/KSFO/2012/5/20/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","72°","52°"
"21","http://www.wunderground.com/history/airport/KSFO/2012/5/21/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlycloudy.svg","Mostly Cloudy","0.00","65°","52°"
"22","http://www.wunderground.com/history/airport/KSFO/2012/5/22/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","64°","52°"
"23","http://www.wunderground.com/history/airport/KSFO/2012/5/23/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","64°","52°"
"24","http://www.wunderground.com/history/airport/KSFO/2012/5/24/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","63°","50°"
"25","http://www.wunderground.com/history/airport/KSFO/2012/5/25/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","62°","50°"
"26","http://www.wunderground.com/history/airport/KSFO/2012/5/26/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlycloudy.svg","Mostly Cloudy","0.00","60°","49°"
"27","http://www.wunderground.com/history/airport/KSFO/2012/5/27/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","61°","52°"
"28","http://www.wunderground.com/history/airport/KSFO/2012/5/28/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","63°","51°"
"29","http://www.wunderground.com/history/airport/KSFO/2012/5/29/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","65°","52°"
"30","http://www.wunderground.com/history/airport/KSFO/2012/5/30/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","67°","50°"
"31","http://www.wunderground.com/history/airport/KSFO/2012/5/31/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","78°","51°"
