"day.text","day.href","desc.text","desc.src","desc.alt","precip","high","low"
"1","http://www.wunderground.com/history/airport/KSFO/2012/3/1/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.08","54°","43°"
"2","http://www.wunderground.com/history/airport/KSFO/2012/3/2/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","63°","40°"
"3","http://www.wunderground.com/history/airport/KSFO/2012/3/3/DailyHistory.html","","http://icons.wxug.com/i/c/v1/clear.svg","Clear","0.00","69°","42°"
"4","http://www.wunderground.com/history/airport/KSFO/2012/3/4/DailyHistory.html","","http://icons.wxug.com/i/c/v1/clear.svg","Clear","0.00","73°","45°"
"5","http://www.wunderground.com/history/airport/KSFO/2012/3/5/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","57°","43°"
"6","http://www.wunderground.com/history/airport/KSFO/2012/3/6/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.01","54°","46°"
"7","http://www.wunderground.com/history/airport/KSFO/2012/3/7/DailyHistory.html","","http://icons.wxug.com/i/c/v1/clear.svg","Clear","0.00","61°","46°"
"8","http://www.wunderground.com/history/airport/KSFO/2012/3/8/DailyHistory.html","","http://icons.wxug.com/i/c/v1/clear.svg","Clear","0.00","65°","41°"
"9","http://www.wunderground.com/history/airport/KSFO/2012/3/9/DailyHistory.html","","http://icons.wxug.com/i/c/v1/clear.svg","Clear","0.00","68°","43°"
"10","http://www.wunderground.com/history/airport/KSFO/2012/3/10/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","T","59°","46°"
"11","http://www.wunderground.com/history/airport/KSFO/2012/3/11/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","60°","48°"
"12","http://www.wunderground.com/history/airport/KSFO/2012/3/12/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","T","61°","42°"
"13","http://www.wunderground.com/history/airport/KSFO/2012/3/13/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.45","56°","52°"
"14","http://www.wunderground.com/history/airport/KSFO/2012/3/14/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.78","58°","55°"
"15","http://www.wunderground.com/history/airport/KSFO/2012/3/15/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.10","61°","55°"
"16","http://www.wunderground.com/history/airport/KSFO/2012/3/16/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.79","58°","48°"
"17","http://www.wunderground.com/history/airport/KSFO/2012/3/17/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","52°","43°"
"18","http://www.wunderground.com/history/airport/KSFO/2012/3/18/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","T","52°","44°"
"19","http://www.wunderground.com/history/airport/KSFO/2012/3/19/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","56°","43°"
"20","http://www.wunderground.com/history/airport/KSFO/2012/3/20/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlycloudy.svg","Mostly Cloudy","0.00","62°","50°"
"21","http://www.wunderground.com/history/airport/KSFO/2012/3/21/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","T","67°","49°"
"22","http://www.wunderground.com/history/airport/KSFO/2012/3/22/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","55°","47°"
"23","http://www.wunderground.com/history/airport/KSFO/2012/3/23/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","60°","42°"
"24","http://www.wunderground.com/history/airport/KSFO/2012/3/24/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","1.08","53°","44°"
"25","http://www.wunderground.com/history/airport/KSFO/2012/3/25/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.21","57°","44°"
"26","http://www.wunderground.com/history/airport/KSFO/2012/3/26/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","58°","45°"
"27","http://www.wunderground.com/history/airport/KSFO/2012/3/27/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.61","59°","52°"
"28","http://www.wunderground.com/history/airport/KSFO/2012/3/28/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","T","64°","52°"
"29","http://www.wunderground.com/history/airport/KSFO/2012/3/29/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlycloudy.svg","Mostly Cloudy","0.00","63°","50°"
"30","http://www.wunderground.com/history/airport/KSFO/2012/3/30/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlycloudy.svg","Mostly Cloudy","0.00","64°","54°"
"31","http://www.wunderground.com/history/airport/KSFO/2012/3/31/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.65","60°","48°"
