"day.text","day.href","desc.text","desc.src","desc.alt","precip","high","low"
"1","http://www.wunderground.com/history/airport/KSFO/2012/2/1/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.01","57°","45°"
"2","http://www.wunderground.com/history/airport/KSFO/2012/2/2/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","66°","43°"
"3","http://www.wunderground.com/history/airport/KSFO/2012/2/3/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","62°","44°"
"4","http://www.wunderground.com/history/airport/KSFO/2012/2/4/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","62°","42°"
"5","http://www.wunderground.com/history/airport/KSFO/2012/2/5/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","60°","42°"
"6","http://www.wunderground.com/history/airport/KSFO/2012/2/6/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.07","61°","45°"
"7","http://www.wunderground.com/history/airport/KSFO/2012/2/7/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.08","59°","53°"
"8","http://www.wunderground.com/history/airport/KSFO/2012/2/8/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","63°","52°"
"9","http://www.wunderground.com/history/airport/KSFO/2012/2/9/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","66°","46°"
"10","http://www.wunderground.com/history/airport/KSFO/2012/2/10/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","T","62°","46°"
"11","http://www.wunderground.com/history/airport/KSFO/2012/2/11/DailyHistory.html","","http://icons.wxug.com/i/c/v1/tstorms.svg","Thunderstorm","0.02","54°","49°"
"12","http://www.wunderground.com/history/airport/KSFO/2012/2/12/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.04","56°","47°"
"13","http://www.wunderground.com/history/airport/KSFO/2012/2/13/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.10","53°","45°"
"14","http://www.wunderground.com/history/airport/KSFO/2012/2/14/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","56°","43°"
"15","http://www.wunderground.com/history/airport/KSFO/2012/2/15/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.08","58°","42°"
"16","http://www.wunderground.com/history/airport/KSFO/2012/2/16/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","63°","41°"
"17","http://www.wunderground.com/history/airport/KSFO/2012/2/17/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","59°","44°"
"18","http://www.wunderground.com/history/airport/KSFO/2012/2/18/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","57°","46°"
"19","http://www.wunderground.com/history/airport/KSFO/2012/2/19/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","54°","42°"
"20","http://www.wunderground.com/history/airport/KSFO/2012/2/20/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.03","56°","48°"
"21","http://www.wunderground.com/history/airport/KSFO/2012/2/21/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlycloudy.svg","Mostly Cloudy","0.00","61°","47°"
"22","http://www.wunderground.com/history/airport/KSFO/2012/2/22/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","70°","48°"
"23","http://www.wunderground.com/history/airport/KSFO/2012/2/23/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","68°","47°"
"24","http://www.wunderground.com/history/airport/KSFO/2012/2/24/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","70°","47°"
"25","http://www.wunderground.com/history/airport/KSFO/2012/2/25/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","57°","45°"
"26","http://www.wunderground.com/history/airport/KSFO/2012/2/26/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","54°","39°"
"27","http://www.wunderground.com/history/airport/KSFO/2012/2/27/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","52°","39°"
"28","http://www.wunderground.com/history/airport/KSFO/2012/2/28/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.01","54°","44°"
"29","http://www.wunderground.com/history/airport/KSFO/2012/2/29/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.23","56°","46°"
