"day.text","day.href","desc.text","desc.src","desc.alt","precip","high","low"
"1","http://www.wunderground.com/history/airport/KSFO/2012/11/1/DailyHistory.html","","http://icons.wxug.com/i/c/v4/rain.svg","Rain","0.30","66°","55°"
"2","http://www.wunderground.com/history/airport/KSFO/2012/11/2/DailyHistory.html","","http://icons.wxug.com/i/c/v4/partlycloudy.svg","Partly Cloudy","0.00","65°","50°"
"3","http://www.wunderground.com/history/airport/KSFO/2012/11/3/DailyHistory.html","","http://icons.wxug.com/i/c/v4/mostlysunny.svg","Scattered Clouds","0.00","71°","51°"
"4","http://www.wunderground.com/history/airport/KSFO/2012/11/4/DailyHistory.html","","http://icons.wxug.com/i/c/v4/mostlysunny.svg","Scattered Clouds","0.00","76°","55°"
"5","http://www.wunderground.com/history/airport/KSFO/2012/11/5/DailyHistory.html","","http://icons.wxug.com/i/c/v4/clear.svg","Clear","0.00","79°","56°"
"6","http://www.wunderground.com/history/airport/KSFO/2012/11/6/DailyHistory.html","","http://icons.wxug.com/i/c/v4/clear.svg","Clear","0.00","78°","56°"
"7","http://www.wunderground.com/history/airport/KSFO/2012/11/7/DailyHistory.html","","http://icons.wxug.com/i/c/v4/partlysunny.svg","Partly Cloudy","0.00","64°","53°"
"8","http://www.wunderground.com/history/airport/KSFO/2012/11/8/DailyHistory.html","","http://icons.wxug.com/i/c/v4/rain.svg","Rain","0.02","61°","49°"
"9","http://www.wunderground.com/history/airport/KSFO/2012/11/9/DailyHistory.html","","http://icons.wxug.com/i/c/v4/tstorms.svg","Thunderstorm","0.02","57°","46°"
"10","http://www.wunderground.com/history/airport/KSFO/2012/11/10/DailyHistory.html","","http://icons.wxug.com/i/c/v4/mostlysunny.svg","Scattered Clouds","0.00","59°","48°"
"11","http://www.wunderground.com/history/airport/KSFO/2012/11/11/DailyHistory.html","","http://icons.wxug.com/i/c/v4/mostlysunny.svg","Scattered Clouds","0.00","60°","43°"
"12","http://www.wunderground.com/history/airport/KSFO/2012/11/12/DailyHistory.html","","http://icons.wxug.com/i/c/v4/mostlysunny.svg","Scattered Clouds","0.00","63°","43°"
"13","http://www.wunderground.com/history/airport/KSFO/2012/11/13/DailyHistory.html","","http://icons.wxug.com/i/c/v4/partlycloudy.svg","Partly Cloudy","0.00","65°","47°"
"14","http://www.wunderground.com/history/airport/KSFO/2012/11/14/DailyHistory.html","","http://icons.wxug.com/i/c/v4/partlycloudy.svg","Partly Cloudy","0.00","68°","50°"
"15","http://www.wunderground.com/history/airport/KSFO/2012/11/15/DailyHistory.html","","http://icons.wxug.com/i/c/v4/partlysunny.svg","Partly Cloudy","0.00","66°","48°"
"16","http://www.wunderground.com/history/airport/KSFO/2012/11/16/DailyHistory.html","","http://icons.wxug.com/i/c/v4/rain.svg","Rain","0.35","63°","54°"
"17","http://www.wunderground.com/history/airport/KSFO/2012/11/17/DailyHistory.html","","http://icons.wxug.com/i/c/v4/rain.svg","Rain","0.53","64°","54°"
"18","http://www.wunderground.com/history/airport/KSFO/2012/11/18/DailyHistory.html","","http://icons.wxug.com/i/c/v4/rain.svg","Rain","T","62°","52°"
"19","http://www.wunderground.com/history/airport/KSFO/2012/11/19/DailyHistory.html","","http://icons.wxug.com/i/c/v4/partlysunny.svg","Partly Cloudy","0.00","67°","52°"
"20","http://www.wunderground.com/history/airport/KSFO/2012/11/20/DailyHistory.html","","http://icons.wxug.com/i/c/v4/rain.svg","Rain","0.17","66°","57°"
"21","http://www.wunderground.com/history/airport/KSFO/2012/11/21/DailyHistory.html","","http://icons.wxug.com/i/c/v4/rain.svg","Rain","0.32","64°","52°"
"22","http://www.wunderground.com/history/airport/KSFO/2012/11/22/DailyHistory.html","","http://icons.wxug.com/i/c/v4/mostlysunny.svg","Scattered Clouds","0.00","64°","47°"
"23","http://www.wunderground.com/history/airport/KSFO/2012/11/23/DailyHistory.html","","http://icons.wxug.com/i/c/v4/mostlysunny.svg","Scattered Clouds","0.00","65°","48°"
"24","http://www.wunderground.com/history/airport/KSFO/2012/11/24/DailyHistory.html","","http://icons.wxug.com/i/c/v4/mostlysunny.svg","Scattered Clouds","0.00","67°","49°"
"25","http://www.wunderground.com/history/airport/KSFO/2012/11/25/DailyHistory.html","","http://icons.wxug.com/i/c/v4/hazy.svg","Fog","0.00","67°","51°"
"26","http://www.wunderground.com/history/airport/KSFO/2012/11/26/DailyHistory.html","","http://icons.wxug.com/i/c/v4/hazy.svg","Fog","0.00","60°","47°"
"27","http://www.wunderground.com/history/airport/KSFO/2012/11/27/DailyHistory.html","","http://icons.wxug.com/i/c/v4/partlysunny.svg","Partly Cloudy","0.00","61°","49°"
"28","http://www.wunderground.com/history/airport/KSFO/2012/11/28/DailyHistory.html","","http://icons.wxug.com/i/c/v4/rain.svg","Rain","0.31","63°","56°"
"29","http://www.wunderground.com/history/airport/KSFO/2012/11/29/DailyHistory.html","","http://icons.wxug.com/i/c/v4/rain.svg","Rain","0.08","64°","55°"
"30","http://www.wunderground.com/history/airport/KSFO/2012/11/30/DailyHistory.html","","http://icons.wxug.com/i/c/v4/tstorms.svg","Thunderstorm","1.96","63°","56°"
