"day.text","day.href","desc.text","desc.src","desc.alt","precip","high","low"
"1","http://www.wunderground.com/history/airport/KSFO/2012/10/1/DailyHistory.html","","http://icons.wxug.com/i/c/v4/clear.svg","Clear","0.00","91°","57°"
"2","http://www.wunderground.com/history/airport/KSFO/2012/10/2/DailyHistory.html","","http://icons.wxug.com/i/c/v4/mostlysunny.svg","Scattered Clouds","0.00","93°","62°"
"3","http://www.wunderground.com/history/airport/KSFO/2012/10/3/DailyHistory.html","","http://icons.wxug.com/i/c/v4/mostlysunny.svg","Scattered Clouds","0.00","79°","60°"
"4","http://www.wunderground.com/history/airport/KSFO/2012/10/4/DailyHistory.html","","http://icons.wxug.com/i/c/v4/partlycloudy.svg","Partly Cloudy","0.00","72°","59°"
"5","http://www.wunderground.com/history/airport/KSFO/2012/10/5/DailyHistory.html","","http://icons.wxug.com/i/c/v4/partlysunny.svg","Partly Cloudy","0.00","72°","59°"
"6","http://www.wunderground.com/history/airport/KSFO/2012/10/6/DailyHistory.html","","http://icons.wxug.com/i/c/v4/partlycloudy.svg","Partly Cloudy","0.00","72°","56°"
"7","http://www.wunderground.com/history/airport/KSFO/2012/10/7/DailyHistory.html","","http://icons.wxug.com/i/c/v4/mostlysunny.svg","Scattered Clouds","0.00","70°","55°"
"8","http://www.wunderground.com/history/airport/KSFO/2012/10/8/DailyHistory.html","","http://icons.wxug.com/i/c/v4/mostlysunny.svg","Scattered Clouds","0.00","69°","53°"
"9","http://www.wunderground.com/history/airport/KSFO/2012/10/9/DailyHistory.html","","http://icons.wxug.com/i/c/v4/tstorms.svg","Thunderstorm","0.01","69°","54°"
"10","http://www.wunderground.com/history/airport/KSFO/2012/10/10/DailyHistory.html","","http://icons.wxug.com/i/c/v4/tstorms.svg","Thunderstorm","0.00","67°","56°"
"11","http://www.wunderground.com/history/airport/KSFO/2012/10/11/DailyHistory.html","","http://icons.wxug.com/i/c/v4/rain.svg","Rain","T","59°","56°"
"12","http://www.wunderground.com/history/airport/KSFO/2012/10/12/DailyHistory.html","","http://icons.wxug.com/i/c/v4/rain.svg","Rain","0.02","65°","55°"
"13","http://www.wunderground.com/history/airport/KSFO/2012/10/13/DailyHistory.html","","http://icons.wxug.com/i/c/v4/mostlysunny.svg","Scattered Clouds","0.00","72°","52°"
"14","http://www.wunderground.com/history/airport/KSFO/2012/10/14/DailyHistory.html","","http://icons.wxug.com/i/c/v4/partlysunny.svg","Partly Cloudy","0.00","71°","56°"
"15","http://www.wunderground.com/history/airport/KSFO/2012/10/15/DailyHistory.html","","http://icons.wxug.com/i/c/v4/hazy.svg","Fog","0.00","72°","55°"
"16","http://www.wunderground.com/history/airport/KSFO/2012/10/16/DailyHistory.html","","http://icons.wxug.com/i/c/v4/partlycloudy.svg","Partly Cloudy","0.00","72°","53°"
"17","http://www.wunderground.com/history/airport/KSFO/2012/10/17/DailyHistory.html","","http://icons.wxug.com/i/c/v4/clear.svg","Clear","0.00","86°","55°"
"18","http://www.wunderground.com/history/airport/KSFO/2012/10/18/DailyHistory.html","","http://icons.wxug.com/i/c/v4/clear.svg","Clear","0.00","86°","58°"
"19","http://www.wunderground.com/history/airport/KSFO/2012/10/19/DailyHistory.html","","http://icons.wxug.com/i/c/v4/hazy.svg","Fog","0.00","70°","57°"
"20","http://www.wunderground.com/history/airport/KSFO/2012/10/20/DailyHistory.html","","http://icons.wxug.com/i/c/v4/partlysunny.svg","Partly Cloudy","0.00","66°","54°"
"21","http://www.wunderground.com/history/airport/KSFO/2012/10/21/DailyHistory.html","","http://icons.wxug.com/i/c/v4/rain.svg","Rain","T","62°","53°"
"22","http://www.wunderground.com/history/airport/KSFO/2012/10/22/DailyHistory.html","","http://icons.wxug.com/i/c/v4/rain.svg","Rain","0.38","64°","55°"
"23","http://www.wunderground.com/history/airport/KSFO/2012/10/23/DailyHistory.html","","http://icons.wxug.com/i/c/v4/rain.svg","Rain","0.05","63°","52°"
"24","http://www.wunderground.com/history/airport/KSFO/2012/10/24/DailyHistory.html","","http://icons.wxug.com/i/c/v4/rain.svg","Rain","0.16","65°","53°"
"25","http://www.wunderground.com/history/airport/KSFO/2012/10/25/DailyHistory.html","","http://icons.wxug.com/i/c/v4/rain.svg","Rain","0.03","66°","55°"
"26","http://www.wunderground.com/history/airport/KSFO/2012/10/26/DailyHistory.html","","http://icons.wxug.com/i/c/v4/mostlysunny.svg","Scattered Clouds","0.00","71°","50°"
"27","http://www.wunderground.com/history/airport/KSFO/2012/10/27/DailyHistory.html","","http://icons.wxug.com/i/c/v4/mostlysunny.svg","Scattered Clouds","0.00","78°","55°"
"28","http://www.wunderground.com/history/airport/KSFO/2012/10/28/DailyHistory.html","","http://icons.wxug.com/i/c/v4/hazy.svg","Fog","0.00","72°","56°"
"29","http://www.wunderground.com/history/airport/KSFO/2012/10/29/DailyHistory.html","","http://icons.wxug.com/i/c/v4/hazy.svg","Fog","0.00","70°","53°"
"30","http://www.wunderground.com/history/airport/KSFO/2012/10/30/DailyHistory.html","","http://icons.wxug.com/i/c/v4/partlysunny.svg","Partly Cloudy","0.00","66°","52°"
"31","http://www.wunderground.com/history/airport/KSFO/2012/10/31/DailyHistory.html","","http://icons.wxug.com/i/c/v4/rain.svg","Rain","0.05","64°","57°"
