"day.text","day.href","desc.text","desc.src","desc.alt","precip","high","low"
"1","http://www.wunderground.com/history/airport/KSFO/2012/8/1/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","70°","53°"
"2","http://www.wunderground.com/history/airport/KSFO/2012/8/2/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","70°","53°"
"3","http://www.wunderground.com/history/airport/KSFO/2012/8/3/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","71°","53°"
"4","http://www.wunderground.com/history/airport/KSFO/2012/8/4/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","T","65°","54°"
"5","http://www.wunderground.com/history/airport/KSFO/2012/8/5/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","69°","57°"
"6","http://www.wunderground.com/history/airport/KSFO/2012/8/6/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","69°","56°"
"7","http://www.wunderground.com/history/airport/KSFO/2012/8/7/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","69°","56°"
"8","http://www.wunderground.com/history/airport/KSFO/2012/8/8/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","72°","55°"
"9","http://www.wunderground.com/history/airport/KSFO/2012/8/9/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","72°","54°"
"10","http://www.wunderground.com/history/airport/KSFO/2012/8/10/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","66°","53°"
"11","http://www.wunderground.com/history/airport/KSFO/2012/8/11/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","71°","52°"
"12","http://www.wunderground.com/history/airport/KSFO/2012/8/12/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","65°","53°"
"13","http://www.wunderground.com/history/airport/KSFO/2012/8/13/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","70°","53°"
"14","http://www.wunderground.com/history/airport/KSFO/2012/8/14/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","68°","54°"
"15","http://www.wunderground.com/history/airport/KSFO/2012/8/15/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","69°","57°"
"16","http://www.wunderground.com/history/airport/KSFO/2012/8/16/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","70°","55°"
"17","http://www.wunderground.com/history/airport/KSFO/2012/8/17/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","65°","55°"
"18","http://www.wunderground.com/history/airport/KSFO/2012/8/18/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","T","68°","56°"
"19","http://www.wunderground.com/history/airport/KSFO/2012/8/19/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","65°","53°"
"20","http://www.wunderground.com/history/airport/KSFO/2012/8/20/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","64°","52°"
"21","http://www.wunderground.com/history/airport/KSFO/2012/8/21/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","65°","54°"
"22","http://www.wunderground.com/history/airport/KSFO/2012/8/22/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","68°","54°"
"23","http://www.wunderground.com/history/airport/KSFO/2012/8/23/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","67°","54°"
"24","http://www.wunderground.com/history/airport/KSFO/2012/8/24/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","71°","53°"
"25","http://www.wunderground.com/history/airport/KSFO/2012/8/25/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","67°","53°"
"26","http://www.wunderground.com/history/airport/KSFO/2012/8/26/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","67°","57°"
"27","http://www.wunderground.com/history/airport/KSFO/2012/8/27/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","75°","58°"
"28","http://www.wunderground.com/history/airport/KSFO/2012/8/28/DailyHistory.html","","http://icons.wxug.com/i/c/v1/clear.svg","Clear","0.00","76°","57°"
"29","http://www.wunderground.com/history/airport/KSFO/2012/8/29/DailyHistory.html","","http://icons.wxug.com/i/c/v1/clear.svg","Clear","0.00","80°","54°"
"30","http://www.wunderground.com/history/airport/KSFO/2012/8/30/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","67°","54°"
"31","http://www.wunderground.com/history/airport/KSFO/2012/8/31/DailyHistory.html","","http://icons.wxug.com/i/c/v1/cloudy.svg","Overcast","0.00","62°","57°"
