"day.text","day.href","desc.text","desc.src","desc.alt","precip","high","low"
"1","http://www.wunderground.com/history/airport/KSFO/2012/6/1/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","69°","53°"
"2","http://www.wunderground.com/history/airport/KSFO/2012/6/2/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","67°","52°"
"3","http://www.wunderground.com/history/airport/KSFO/2012/6/3/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","68°","51°"
"4","http://www.wunderground.com/history/airport/KSFO/2012/6/4/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.09","61°","53°"
"5","http://www.wunderground.com/history/airport/KSFO/2012/6/5/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","63°","50°"
"6","http://www.wunderground.com/history/airport/KSFO/2012/6/6/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","63°","50°"
"7","http://www.wunderground.com/history/airport/KSFO/2012/6/7/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","67°","51°"
"8","http://www.wunderground.com/history/airport/KSFO/2012/6/8/DailyHistory.html","","http://icons.wxug.com/i/c/v1/clear.svg","Clear","0.00","64°","51°"
"9","http://www.wunderground.com/history/airport/KSFO/2012/6/9/DailyHistory.html","","http://icons.wxug.com/i/c/v1/clear.svg","Clear","0.00","70°","50°"
"10","http://www.wunderground.com/history/airport/KSFO/2012/6/10/DailyHistory.html","","http://icons.wxug.com/i/c/v1/clear.svg","Clear","0.00","85°","56°"
"11","http://www.wunderground.com/history/airport/KSFO/2012/6/11/DailyHistory.html","","http://icons.wxug.com/i/c/v1/clear.svg","Clear","0.00","80°","54°"
"12","http://www.wunderground.com/history/airport/KSFO/2012/6/12/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","74°","53°"
"13","http://www.wunderground.com/history/airport/KSFO/2012/6/13/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","66°","52°"
"14","http://www.wunderground.com/history/airport/KSFO/2012/6/14/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","65°","52°"
"15","http://www.wunderground.com/history/airport/KSFO/2012/6/15/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","74°","50°"
"16","http://www.wunderground.com/history/airport/KSFO/2012/6/16/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","87°","55°"
"17","http://www.wunderground.com/history/airport/KSFO/2012/6/17/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","73°","55°"
"18","http://www.wunderground.com/history/airport/KSFO/2012/6/18/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","71°","54°"
"19","http://www.wunderground.com/history/airport/KSFO/2012/6/19/DailyHistory.html","","http://icons.wxug.com/i/c/v1/clear.svg","Clear","0.00","74°","53°"
"20","http://www.wunderground.com/history/airport/KSFO/2012/6/20/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","79°","54°"
"21","http://www.wunderground.com/history/airport/KSFO/2012/6/21/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","60°","52°"
"22","http://www.wunderground.com/history/airport/KSFO/2012/6/22/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","T","69°","52°"
"23","http://www.wunderground.com/history/airport/KSFO/2012/6/23/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","66°","53°"
"24","http://www.wunderground.com/history/airport/KSFO/2012/6/24/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","67°","53°"
"25","http://www.wunderground.com/history/airport/KSFO/2012/6/25/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","69°","53°"
"26","http://www.wunderground.com/history/airport/KSFO/2012/6/26/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","69°","54°"
"27","http://www.wunderground.com/history/airport/KSFO/2012/6/27/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","70°","53°"
"28","http://www.wunderground.com/history/airport/KSFO/2012/6/28/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","68°","55°"
"29","http://www.wunderground.com/history/airport/KSFO/2012/6/29/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","68°","56°"
"30","http://www.wunderground.com/history/airport/KSFO/2012/6/30/DailyHistory.html","","http://icons.wxug.com/i/c/v1/hazy.svg","Fog","0.00","71°","58°"
