"day.text","day.href","desc.text","desc.src","desc.alt","precip","high","low"
"1","http://www.wunderground.com/history/airport/KSFO/2012/4/1/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.01","57°","48°"
"2","http://www.wunderground.com/history/airport/KSFO/2012/4/2/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","63°","45°"
"3","http://www.wunderground.com/history/airport/KSFO/2012/4/3/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.03","64°","49°"
"4","http://www.wunderground.com/history/airport/KSFO/2012/4/4/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","57°","46°"
"5","http://www.wunderground.com/history/airport/KSFO/2012/4/5/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","55°","44°"
"6","http://www.wunderground.com/history/airport/KSFO/2012/4/6/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","57°","43°"
"7","http://www.wunderground.com/history/airport/KSFO/2012/4/7/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","64°","41°"
"8","http://www.wunderground.com/history/airport/KSFO/2012/4/8/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","64°","43°"
"9","http://www.wunderground.com/history/airport/KSFO/2012/4/9/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","65°","47°"
"10","http://www.wunderground.com/history/airport/KSFO/2012/4/10/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.41","57°","52°"
"11","http://www.wunderground.com/history/airport/KSFO/2012/4/11/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.03","59°","49°"
"12","http://www.wunderground.com/history/airport/KSFO/2012/4/12/DailyHistory.html","","http://icons.wxug.com/i/c/v1/tstorms.svg","Thunderstorm","1.12","61°","47°"
"13","http://www.wunderground.com/history/airport/KSFO/2012/4/13/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.76","55°","47°"
"14","http://www.wunderground.com/history/airport/KSFO/2012/4/14/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","60°","48°"
"15","http://www.wunderground.com/history/airport/KSFO/2012/4/15/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","64°","51°"
"16","http://www.wunderground.com/history/airport/KSFO/2012/4/16/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","62°","50°"
"17","http://www.wunderground.com/history/airport/KSFO/2012/4/17/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlycloudy.svg","Mostly Cloudy","0.00","61°","52°"
"18","http://www.wunderground.com/history/airport/KSFO/2012/4/18/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","65°","51°"
"19","http://www.wunderground.com/history/airport/KSFO/2012/4/19/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","68°","55°"
"20","http://www.wunderground.com/history/airport/KSFO/2012/4/20/DailyHistory.html","","http://icons.wxug.com/i/c/v1/clear.svg","Clear","0.00","78°","55°"
"21","http://www.wunderground.com/history/airport/KSFO/2012/4/21/DailyHistory.html","","http://icons.wxug.com/i/c/v1/clear.svg","Clear","0.00","80°","56°"
"22","http://www.wunderground.com/history/airport/KSFO/2012/4/22/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","69°","52°"
"23","http://www.wunderground.com/history/airport/KSFO/2012/4/23/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","67°","54°"
"24","http://www.wunderground.com/history/airport/KSFO/2012/4/24/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","69°","59°"
"25","http://www.wunderground.com/history/airport/KSFO/2012/4/25/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.40","70°","58°"
"26","http://www.wunderground.com/history/airport/KSFO/2012/4/26/DailyHistory.html","","http://icons.wxug.com/i/c/v1/rain.svg","Rain","0.03","61°","52°"
"27","http://www.wunderground.com/history/airport/KSFO/2012/4/27/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlycloudy.svg","Partly Cloudy","0.00","64°","49°"
"28","http://www.wunderground.com/history/airport/KSFO/2012/4/28/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","64°","51°"
"29","http://www.wunderground.com/history/airport/KSFO/2012/4/29/DailyHistory.html","","http://icons.wxug.com/i/c/v1/mostlysunny.svg","Scattered Clouds","0.00","71°","50°"
"30","http://www.wunderground.com/history/airport/KSFO/2012/4/30/DailyHistory.html","","http://icons.wxug.com/i/c/v1/partlysunny.svg","Partly Cloudy","0.00","70°","50°"
